Date,Series,Match,Venue,Winner
9,15/03/2026,2025-2026 Bangladesh v. Pakistan,3rd,Shere Bangla National Stadium
10,02/04/2026,2024-2027 ICC World Cup League 2 (OMA v. SCO),91st,Wanderers Cricket Ground
11,04/04/2026,2024-2027 ICC World Cup League 2 (NAM v. OMA),92nd,Namibia Cricket Ground
12,06/04/2026,2024-2027 ICC World Cup League 2 (NAM v. SCO),93rd,Namibia Cricket Ground
13,08/04/2026,2024-2027 ICC World Cup League 2 (OMA v. SCO),94th,Namibia Cricket Ground
14,10/04/2026,2024-2027 ICC World Cup League 2 (NAM v. OMA),95th,Namibia Cricket Ground
15,12/04/2026,2024-2027 ICC World Cup League 2 (NAM v. SCO),96th,Namibia Cricket Ground
16,17/04/2026,2025-2026 Bangladesh v. New Zealand,1st,Shere Bangla National Stadium
17,20/04/2026,2025-2026 Bangladesh v. New Zealand,2nd,Shere Bangla National Stadium
18,23/04/2026,2025-2026 Bangladesh v. New Zealand,3rd,Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium
